                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.48384,                0.54633,                0.66298,                0.91423,                0.97487,                    0.5,                  0.995,                0.84789,                0.97487,                    0.5,                  0.995,                 0.8506,                0.59718,                0.95328,                 1.9959,                0.83376,             0.00041893,             0.00041893,             0.00041893
                     49,                0.49076,                0.62672,                 0.6718,                0.89523,                0.97651,                    0.5,                  0.995,                0.85531,                0.97651,                    0.5,                  0.995,                0.85884,                0.58923,                0.96388,                 2.0735,                0.82711,             0.00041992,             0.00041992,             0.00041992
                     50,                0.48719,                0.65649,                0.70614,                0.91953,                0.97651,                    0.5,                  0.995,                0.85531,                0.97651,                    0.5,                  0.995,                0.85884,                0.58923,                0.96388,                 2.0735,                0.82711,             0.00042059,             0.00042059,             0.00042059
                     51,                0.45914,                0.64512,                0.65769,                0.89757,                0.97382,                    0.5,                0.99147,                0.86589,                0.97382,                    0.5,                0.99147,                0.85742,                0.57282,                0.97354,                 1.9916,                0.82644,             0.00042092,             0.00042092,             0.00042092
                     52,                 0.4795,                0.67496,                0.68686,                0.89856,                0.97382,                    0.5,                0.99147,                0.86589,                0.97382,                    0.5,                0.99147,                0.85742,                0.57282,                0.97354,                 1.9916,                0.82644,             0.00042092,             0.00042092,             0.00042092
                     53,                0.52223,                0.69902,                0.68012,                   0.94,                0.97382,                    0.5,                0.99147,                0.86589,                0.97382,                    0.5,                0.99147,                0.85742,                0.57282,                0.97354,                 1.9916,                0.82644,             0.00042059,             0.00042059,             0.00042059
                     54,                0.47353,                0.60558,                0.64029,                0.90629,                0.97259,                    0.5,                0.99324,                0.85871,                0.97259,                    0.5,                0.99324,                 0.8703,                0.57806,                 0.9336,                 1.8592,                0.84256,             0.00041993,             0.00041993,             0.00041993
                     55,                0.45683,                0.59752,                0.63574,                0.89749,                0.97259,                    0.5,                0.99324,                0.85871,                0.97259,                    0.5,                0.99324,                 0.8703,                0.57806,                 0.9336,                 1.8592,                0.84256,             0.00041894,             0.00041894,             0.00041894
                     56,                0.42657,                0.61077,                0.65236,                0.85376,                0.97259,                    0.5,                0.99324,                0.85871,                0.97259,                    0.5,                0.99324,                 0.8703,                0.57806,                 0.9336,                 1.8592,                0.84256,             0.00041763,             0.00041763,             0.00041763
                     57,                0.43741,                0.66609,                0.62431,                0.86651,                0.97233,                    0.5,                0.99324,                0.86178,                0.97233,                    0.5,                0.99324,                0.88418,                0.58184,                0.91495,                 1.7973,                0.84674,             0.00041598,             0.00041598,             0.00041598
                     58,                0.50383,                0.69602,                0.70168,                0.92118,                0.97233,                    0.5,                0.99324,                0.86178,                0.97233,                    0.5,                0.99324,                0.88418,                0.58184,                0.91495,                 1.7973,                0.84674,               0.000414,               0.000414,               0.000414
                     59,                0.45003,                0.65509,                 0.6166,                0.88414,                0.97233,                    0.5,                0.99324,                0.86178,                0.97233,                    0.5,                0.99324,                0.88418,                0.58184,                0.91495,                 1.7973,                0.84674,             0.00041169,             0.00041169,             0.00041169
                     60,                0.46103,                0.60973,                0.64793,                 0.9052,                0.97261,                    0.5,                  0.995,                0.84318,                0.97261,                    0.5,                  0.995,                0.86969,                0.58253,                0.91065,                 1.7725,                0.84415,             0.00040905,             0.00040905,             0.00040905
                     61,                0.46877,                0.68241,                 0.6357,                 0.9183,                0.97261,                    0.5,                  0.995,                0.84318,                0.97261,                    0.5,                  0.995,                0.86969,                0.58253,                0.91065,                 1.7725,                0.84415,             0.00040608,             0.00040608,             0.00040608
                     62,                0.45642,                0.63816,                0.59134,                0.87212,                0.97261,                    0.5,                  0.995,                0.84318,                0.97261,                    0.5,                  0.995,                0.86969,                0.58253,                0.91065,                 1.7725,                0.84415,             0.00040278,             0.00040278,             0.00040278
                     63,                0.43672,                0.58337,                0.64917,                0.88496,                0.97238,                    0.5,                  0.995,                0.86466,                0.97238,                    0.5,                  0.995,                0.86853,                0.55571,                0.91488,                 1.6887,                0.82954,             0.00039915,             0.00039915,             0.00039915
                     64,                0.41781,                0.67204,                  0.559,                 0.8758,                0.97238,                    0.5,                  0.995,                0.86466,                0.97238,                    0.5,                  0.995,                0.86853,                0.55571,                0.91488,                 1.6887,                0.82954,             0.00039519,             0.00039519,             0.00039519
                     65,                0.48578,                0.81219,                0.60917,                0.85554,                0.97238,                    0.5,                  0.995,                0.86466,                0.97238,                    0.5,                  0.995,                0.86853,                0.55571,                0.91488,                 1.6887,                0.82954,              0.0003909,              0.0003909,              0.0003909
                     66,                0.43988,                0.68206,                0.58983,                0.85489,                0.97211,                    0.5,                  0.995,                 0.9028,                0.97211,                    0.5,                  0.995,                0.86205,                0.49881,                0.91292,                 1.5468,                0.81532,             0.00038629,             0.00038629,             0.00038629
                     67,                0.44888,                0.64702,                0.60587,                0.88971,                0.97211,                    0.5,                  0.995,                 0.9028,                0.97211,                    0.5,                  0.995,                0.86205,                0.49881,                0.91292,                 1.5468,                0.81532,             0.00038134,             0.00038134,             0.00038134
                     68,                0.40996,                0.55228,                0.60152,                0.86335,                0.97211,                    0.5,                  0.995,                 0.9028,                0.97211,                    0.5,                  0.995,                0.86205,                0.49881,                0.91292,                 1.5468,                0.81532,             0.00037606,             0.00037606,             0.00037606
                     69,                0.41943,                0.69507,                0.56432,                0.87875,                0.97211,                    0.5,                  0.995,                0.90273,                0.97211,                    0.5,                  0.995,                0.85548,                0.46307,                0.90459,                 1.4678,                0.81469,             0.00037045,             0.00037045,             0.00037045
                     70,                0.46446,                0.67348,                0.63126,                0.89674,                0.97211,                    0.5,                  0.995,                0.90273,                0.97211,                    0.5,                  0.995,                0.85548,                0.46307,                0.90459,                 1.4678,                0.81469,             0.00036451,             0.00036451,             0.00036451
                     71,                0.45169,                0.67987,                0.60424,                0.89767,                0.97211,                    0.5,                  0.995,                0.90273,                0.97211,                    0.5,                  0.995,                0.85548,                0.46307,                0.90459,                 1.4678,                0.81469,             0.00035824,             0.00035824,             0.00035824
                     72,                0.44405,                0.57167,                0.67319,                0.90762,                0.97204,                    0.5,                  0.995,                0.90495,                0.97204,                    0.5,                  0.995,                0.85609,                0.45065,                0.91021,                 1.4388,                0.81355,             0.00035164,             0.00035164,             0.00035164
                     73,                0.42767,                0.58427,                0.56312,                0.90514,                0.97204,                    0.5,                  0.995,                0.90495,                0.97204,                    0.5,                  0.995,                0.85609,                0.45065,                0.91021,                 1.4388,                0.81355,             0.00034471,             0.00034471,             0.00034471
                     74,                0.42367,                0.65689,                0.56084,                0.86651,                0.97204,                    0.5,                  0.995,                0.90495,                0.97204,                    0.5,                  0.995,                0.85609,                0.45065,                0.91021,                 1.4388,                0.81355,             0.00033745,             0.00033745,             0.00033745
                     75,                0.44033,                0.63466,                0.62089,                0.87958,                0.97204,                    0.5,                  0.995,                0.91299,                0.97204,                    0.5,                  0.995,                 0.8502,                0.45512,                0.90633,                 1.4186,                 0.8247,             0.00032986,             0.00032986,             0.00032986
                     76,                0.45257,                0.67305,                0.63006,                0.90306,                0.97204,                    0.5,                  0.995,                0.91299,                0.97204,                    0.5,                  0.995,                 0.8502,                0.45512,                0.90633,                 1.4186,                 0.8247,             0.00032194,             0.00032194,             0.00032194
                     77,                0.45045,                 0.7162,                0.65073,                0.91707,                0.97204,                    0.5,                  0.995,                0.91299,                0.97204,                    0.5,                  0.995,                 0.8502,                0.45512,                0.90633,                 1.4186,                 0.8247,             0.00031369,             0.00031369,             0.00031369
                     78,                0.48834,                0.65714,                0.64775,                0.91915,                0.97208,                    0.5,                  0.995,                0.89602,                0.97208,                    0.5,                  0.995,                0.85341,                0.46396,                0.89459,                 1.4094,                0.82562,             0.00030511,             0.00030511,             0.00030511
                     79,                0.44118,                0.61151,                0.59693,                0.89843,                0.97208,                    0.5,                  0.995,                0.89602,                0.97208,                    0.5,                  0.995,                0.85341,                0.46396,                0.89459,                 1.4094,                0.82562,              0.0002962,              0.0002962,              0.0002962
                     80,                0.44665,                 0.6749,                0.58579,                0.88565,                0.97208,                    0.5,                  0.995,                0.89602,                0.97208,                    0.5,                  0.995,                0.85341,                0.46396,                0.89459,                 1.4094,                0.82562,             0.00028696,             0.00028696,             0.00028696
                     81,                0.38145,                0.65759,                0.55874,                0.85116,                0.97215,                    0.5,                  0.995,                0.90738,                0.97215,                    0.5,                  0.995,                 0.8562,                0.45476,                0.89905,                 1.4079,                0.81775,             0.00027739,             0.00027739,             0.00027739
                     82,                0.43988,                0.62125,                0.60198,                0.86595,                0.97215,                    0.5,                  0.995,                0.90738,                0.97215,                    0.5,                  0.995,                 0.8562,                0.45476,                0.89905,                 1.4079,                0.81775,             0.00026749,             0.00026749,             0.00026749
                     83,                0.39139,                0.56371,                0.56637,                0.86673,                0.97215,                    0.5,                  0.995,                0.90738,                0.97215,                    0.5,                  0.995,                 0.8562,                0.45476,                0.89905,                 1.4079,                0.81775,             0.00025726,             0.00025726,             0.00025726
                     84,                0.42507,                0.61487,                0.55227,                 0.8456,                0.97217,                    0.5,                  0.995,                0.90802,                0.97217,                    0.5,                  0.995,                0.85446,                0.43769,                 0.9012,                 1.3346,                0.80958,              0.0002467,              0.0002467,              0.0002467
                     85,                0.40529,                0.66408,                0.57062,                0.86081,                0.97217,                    0.5,                  0.995,                0.90802,                0.97217,                    0.5,                  0.995,                0.85446,                0.43769,                 0.9012,                 1.3346,                0.80958,             0.00023581,             0.00023581,             0.00023581
                     86,                0.37114,                0.63538,                0.54829,                0.89386,                0.97217,                    0.5,                  0.995,                0.90802,                0.97217,                    0.5,                  0.995,                0.85446,                0.43769,                 0.9012,                 1.3346,                0.80958,             0.00022459,             0.00022459,             0.00022459
                     87,                0.39211,                0.57533,                0.58701,                 0.9187,                0.97217,                    0.5,                  0.995,                0.90802,                0.97217,                    0.5,                  0.995,                0.85446,                0.43769,                 0.9012,                 1.3346,                0.80958,             0.00021304,             0.00021304,             0.00021304
                     88,                0.37345,                0.57007,                 0.5407,                0.83036,                0.97216,                0.95667,                  0.995,                0.91359,                0.97216,                0.95667,                  0.995,                0.85278,                 0.4306,                0.89529,                 1.1825,                0.80181,             0.00020116,             0.00020116,             0.00020116
                     89,                0.49806,                0.89702,                0.58933,                0.92232,                0.97216,                0.95667,                  0.995,                0.91359,                0.97216,                0.95667,                  0.995,                0.85278,                 0.4306,                0.89529,                 1.1825,                0.80181,             0.00018894,             0.00018894,             0.00018894
                     90,                0.39663,                0.63975,                0.59605,                0.87934,                0.97216,                0.95667,                  0.995,                0.91359,                0.97216,                0.95667,                  0.995,                0.85278,                 0.4306,                0.89529,                 1.1825,                0.80181,              0.0001764,              0.0001764,              0.0001764
                     91,                0.38988,                0.61213,                 1.1044,                0.88693,                0.97216,                0.95667,                  0.995,                0.91359,                0.97216,                0.95667,                  0.995,                0.85278,                 0.4306,                0.89529,                 1.1825,                0.80181,             0.00016353,             0.00016353,             0.00016353
                     92,                0.38836,                 0.5881,                 1.0059,                 0.9229,                0.96404,                      1,                  0.995,                0.91003,                0.96404,                      1,                  0.995,                0.87011,                0.43652,                0.88464,                 1.1508,                0.79973,             0.00015033,             0.00015033,             0.00015033
                     93,                0.36475,                0.62317,                0.94911,                0.85649,                0.96404,                      1,                  0.995,                0.91003,                0.96404,                      1,                  0.995,                0.87011,                0.43652,                0.88464,                 1.1508,                0.79973,              0.0001368,              0.0001368,              0.0001368
                     94,                0.37495,                0.59299,                0.91661,                0.87069,                0.96404,                      1,                  0.995,                0.91003,                0.96404,                      1,                  0.995,                0.87011,                0.43652,                0.88464,                 1.1508,                0.79973,             0.00012294,             0.00012294,             0.00012294
                     95,                0.35619,                 0.6349,                0.85024,                0.85972,                0.96404,                      1,                  0.995,                0.91003,                0.96404,                      1,                  0.995,                0.87011,                0.43652,                0.88464,                 1.1508,                0.79973,             0.00010875,             0.00010875,             0.00010875
                     96,                0.36621,                 0.6383,                0.93223,                0.89358,                0.95915,                      1,                  0.995,                0.90715,                0.95915,                      1,                  0.995,                0.86708,                0.44138,                 0.8775,                  1.115,                0.79838,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                0.35851,                0.60118,                0.85152,                0.82804,                0.95915,                      1,                  0.995,                0.90715,                0.95915,                      1,                  0.995,                0.86708,                0.44138,                 0.8775,                  1.115,                0.79838,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                0.34596,                0.61467,                0.80284,                 0.8425,                0.95915,                      1,                  0.995,                0.90715,                0.95915,                      1,                  0.995,                0.86708,                0.44138,                 0.8775,                  1.115,                0.79838,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                0.33558,                0.58875,                0.88418,                0.82803,                0.95915,                      1,                  0.995,                0.90715,                0.95915,                      1,                  0.995,                0.86708,                0.44138,                 0.8775,                  1.115,                0.79838,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                0.37309,                0.62363,                0.90652,                0.84619,                0.96293,                      1,                  0.995,                0.91054,                0.96293,                      1,                  0.995,                0.87528,                0.43637,                0.87505,                 1.0414,                  0.796,             3.2842e-05,             3.2842e-05,             3.2842e-05
