                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.3281,                 1.2624,                 1.3858,                0.78721,                0.82259,                0.72723,                0.29982,                 1.9989,                 2.0276,                 2.4822,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2237,                 1.2573,                 1.3244,                0.78431,                0.60638,                0.65376,                0.25877,                 2.1275,                 2.0477,                 2.4943,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2707,                 1.3078,                 1.4628,                0.78431,                0.60638,                0.65376,                0.25877,                 2.1275,                 2.0477,                 2.4943,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.3864,                 1.2746,                 1.5152,                0.84061,                0.66667,                0.70278,                0.27612,                 2.1163,                 1.7994,                 2.4267,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.4492,                 1.4727,                 1.5042,                0.84061,                0.66667,                0.70278,                0.27612,                 2.1163,                 1.7994,                 2.4267,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3648,                 1.6131,                 1.5249,                0.82121,                0.83333,                0.79185,                0.32774,                  2.038,                 1.6863,                 2.4416,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.4955,                 1.3795,                 1.5108,                0.82121,                0.83333,                0.79185,                0.32774,                  2.038,                 1.6863,                 2.4416,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1603,                 1.3339,                 1.3094,                 0.8298,                0.83333,                0.77579,                0.34506,                 2.0522,                 1.5699,                 2.4796,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.8284,                 1.6756,                 2.1939,                 0.8298,                0.83333,                0.77579,                0.34506,                 2.0522,                 1.5699,                 2.4796,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.4155,                 1.2775,                 1.4507,                0.82852,                0.83333,                0.75112,                0.32378,                 2.0613,                 1.5422,                 2.5584,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.3527,                 1.2544,                  1.386,                0.82852,                0.83333,                0.75112,                0.32378,                 2.0613,                 1.5422,                 2.5584,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1412,                 1.1291,                 1.3349,                0.82087,                0.83333,                  0.789,                0.29445,                 2.1621,                 1.6159,                 2.6586,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1888,                 1.2375,                 1.4841,                0.82087,                0.83333,                  0.789,                0.29445,                 2.1621,                 1.6159,                 2.6586,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1602,                 1.3629,                  1.358,                0.74337,                0.83333,                0.77018,                0.25161,                 2.2501,                 1.7669,                 2.6759,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0404,                 1.1256,                 1.2096,                0.74337,                0.83333,                0.77018,                0.25161,                 2.2501,                 1.7669,                 2.6759,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0747,                 1.4015,                 1.3862,                0.88369,                0.88889,                 0.8299,                0.29435,                 2.2405,                 1.5936,                 2.5871,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2436,                 1.2133,                 1.4505,                0.88369,                0.88889,                 0.8299,                0.29435,                 2.2405,                 1.5936,                 2.5871,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.1261,                  1.298,                 1.4159,                0.88462,                0.88889,                0.82992,                0.29467,                 2.2096,                 1.5297,                 2.5578,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0026,                 1.1505,                 1.2829,                0.88462,                0.88889,                0.82992,                0.29467,                 2.2096,                 1.5297,                 2.5578,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.4258,                 1.3032,                 1.6597,                0.93868,                0.94444,                0.92753,                0.32037,                 2.2267,                 1.5711,                 2.5773,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0303,                  1.123,                 1.3607,                0.93868,                0.94444,                0.92753,                0.32037,                 2.2267,                 1.5711,                 2.5773,             0.00034674,             0.00034674,             0.00034674
                     82,                0.91803,                 1.0588,                 1.1495,                0.82825,                0.83333,                 0.7415,                0.30205,                 2.2206,                 1.5985,                 2.5824,             0.00033023,             0.00033023,             0.00033023
                     83,                0.94374,                 1.1321,                 1.1895,                0.82825,                0.83333,                 0.7415,                0.30205,                 2.2206,                 1.5985,                 2.5824,             0.00031373,             0.00031373,             0.00031373
